timestamp,open,high,low,close,volume
2025-01-01T00:00:00Z,65000,65120,64890,65080,1200
2025-01-01T00:15:00Z,65080,65240,65000,65190,1500
2025-01-01T00:30:00Z,65190,65310,65100,65270,1320
2025-01-01T00:45:00Z,65270,65400,65180,65380,1600
2025-01-01T01:00:00Z,65380,65420,65010,65120,2100
2025-01-01T01:15:00Z,65120,65200,64880,64920,2400
2025-01-01T01:30:00Z,64920,65050,64700,64810,2200
2025-01-01T01:45:00Z,64810,64990,64680,64970,2600
2025-01-01T02:00:00Z,64970,65280,64940,65210,3000
2025-01-01T02:15:00Z,65210,65500,65150,65440,3100
2025-01-01T02:30:00Z,65440,65620,65380,65580,2800
2025-01-01T02:45:00Z,65580,65600,65220,65300,2700
